Day,Month,Year,Hour,Min,Sec,mode,Time,BBBV,BBBVs,style,cell0,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,Lcl,Rcl,Dcl,Leff,Reff,Deff,Openings,Islands,Path,GZiNi,HZiNi
16,1,2025,12,12,0,BEG,6.03,12,1.99,NF,20,22,11,0,0,1,0,0,0,19,0,0,16,0,0,2,3,623,11,11
16,1,2025,12,12,8,BEG,4.17,12,2.87,NF,21,19,11,3,0,0,0,0,0,17,0,0,16,0,0,2,3,464,9,11
16,1,2025,12,12,22,BEG,6.43,20,3.11,NF,16,25,8,3,2,0,0,0,0,24,0,0,22,0,0,2,2,816,14,14
16,1,2025,12,12,41,BEG,5.98,16,2.67,NF,20,19,9,6,0,0,0,0,0,21,0,0,19,0,0,2,2,739,13,12
16,1,2025,12,12,53,BEG,5.97,15,2.51,NF,18,20,14,2,0,0,0,0,0,24,0,0,20,0,0,2,4,816,11,13
16,1,2025,12,13,3,BEG,7.92,18,2.27,NF,14,28,10,2,0,0,0,0,0,30,0,0,24,0,0,3,4,933,16,16
16,1,2025,12,13,15,BEG,7.89,20,2.53,NF,15,24,12,3,0,0,0,0,0,29,0,0,25,0,0,3,3,883,14,14
16,1,2025,12,13,29,BEG,8.41,14,1.66,NF,15,27,7,5,0,0,0,0,0,30,0,0,25,0,0,5,4,1069,14,14
16,1,2025,12,13,46,BEG,7.62,15,1.96,NF,16,23,10,4,1,0,0,0,0,27,0,0,23,0,0,3,5,1046,15,15
16,1,2025,12,13,55,BEG,7.77,19,2.44,NF,16,25,11,1,1,0,0,0,0,28,0,0,23,0,0,2,3,1174,14,15
16,1,2025,12,14,13,BEG,6.35,19,2.99,NF,16,23,13,2,0,0,0,0,0,24,0,0,20,0,0,2,3,739,15,16
16,1,2025,12,14,34,BEG,5.66,16,2.82,NF,15,25,12,1,1,0,0,0,0,25,0,0,20,0,0,4,3,654,13,14
16,1,2025,12,14,55,BEG,5.80,16,2.75,NF,17,15,21,1,0,0,0,0,0,22,0,0,20,0,0,2,2,555,14,16
16,1,2025,12,15,7,BEG,6.47,16,2.47,NF,14,27,10,3,0,0,0,0,0,25,0,0,22,0,0,3,4,730,13,13
16,1,2025,12,15,52,BEG,9.69,22,2.27,NF,12,22,17,3,0,0,0,0,0,33,0,0,29,0,0,3,4,1287,15,17
16,1,2025,12,16,3,BEG,5.46,13,2.38,NF,18,22,11,3,0,0,0,0,0,18,0,0,15,0,0,2,4,634,10,11
17,1,2025,1,15,23,BEG,7.92,19,2.39,NF,17,19,12,4,2,0,0,0,0,30,0,0,25,0,0,3,4,851,16,17
17,1,2025,1,15,43,BEG,7.42,20,2.69,NF,14,25,9,6,0,0,0,0,0,26,0,0,24,0,0,3,3,923,15,16
17,1,2025,15,32,55,BEG,8.13,24,2.95,NF,14,24,10,6,0,0,0,0,0,35,0,0,31,0,0,3,3,876,16,19
17,1,2025,15,33,3,BEG,6.87,17,2.47,NF,21,18,8,7,0,0,0,0,0,28,0,0,23,0,0,3,2,790,14,14
17,1,2025,15,33,18,BEG,7.24,22,3.03,NF,15,23,8,8,0,0,0,0,0,30,0,0,27,0,0,3,2,784,16,17
18,1,2025,0,40,56,BEG,6.34,17,2.68,NF,19,18,12,4,1,0,0,0,0,19,0,0,17,0,0,1,2,714,11,13
18,1,2025,0,41,8,BEG,7.53,25,3.32,NF,16,19,14,4,1,0,0,0,0,30,0,0,29,0,0,2,1,1004,15,17
18,1,2025,0,41,28,BEG,9.90,28,2.82,NF,9,33,10,2,0,0,0,0,0,42,0,0,37,0,0,3,2,1215,18,19
18,1,2025,0,41,58,BEG,8.81,28,3.17,NF,11,26,15,2,0,0,0,0,0,37,0,0,33,0,0,3,2,1118,19,19
18,1,2025,0,42,11,BEG,6.48,18,2.77,NF,15,21,13,4,1,0,0,0,0,29,0,0,25,0,0,4,5,897,16,17
18,1,2025,0,42,41,BEG,6.14,14,2.28,NF,20,20,11,2,1,0,0,0,0,28,0,0,24,0,0,5,2,880,10,12
18,1,2025,0,42,53,BEG,5.88,13,2.21,NF,17,19,16,2,0,0,0,0,0,20,0,0,17,0,0,3,3,783,11,12
18,1,2025,0,43,12,BEG,7.66,19,2.48,NF,16,23,12,3,0,0,0,0,0,29,0,0,26,0,0,3,1,903,14,14
18,1,2025,0,43,37,BEG,4.78,12,2.51,NF,22,22,4,5,1,0,0,0,0,18,0,0,16,0,0,2,2,677,10,10
18,1,2025,0,43,43,BEG,4.83,16,3.31,NF,17,22,11,4,0,0,0,0,0,19,0,0,18,0,0,1,2,612,11,14
18,1,2025,0,43,53,BEG,4.33,15,3.46,NF,20,15,12,6,1,0,0,0,0,19,0,0,17,0,0,2,1,540,11,13
18,1,2025,0,44,26,BEG,5.87,14,2.38,NF,20,20,10,4,0,0,0,0,0,23,0,0,20,0,0,3,4,837,9,10
18,1,2025,0,44,44,BEG,4.97,10,2.01,NF,23,18,8,3,2,0,0,0,0,20,0,0,16,0,0,3,4,735,10,10
18,1,2025,0,45,17,BEG,5.69,13,2.28,NF,17,27,4,5,0,1,0,0,0,24,0,0,20,0,0,4,3,744,11,12
18,1,2025,0,45,46,BEG,11.08,28,2.52,NF,9,27,16,2,0,0,0,0,0,39,0,0,35,0,0,3,2,1320,20,20
18,1,2025,0,45,57,BEG,3.71,7,1.88,NF,26,12,11,5,0,0,0,0,0,10,0,0,9,0,0,2,3,576,7,7
18,1,2025,0,46,6,BEG,5.82,14,2.40,NF,18,22,10,3,1,0,0,0,0,23,0,0,19,0,0,3,3,717,12,11
18,1,2025,0,46,30,BEG,8.81,25,2.83,NF,17,20,10,6,1,0,0,0,0,28,0,0,26,0,0,1,1,1058,16,17
18,1,2025,0,46,37,BEG,5.87,12,2.04,NF,20,20,9,4,1,0,0,0,0,22,0,0,19,0,0,3,2,708,11,12
18,1,2025,0,49,34,BEG,7.21,19,2.63,NF,13,29,7,5,0,0,0,0,0,29,0,0,26,0,0,3,4,904,16,17
18,1,2025,0,49,43,BEG,6.55,15,2.29,NF,18,26,7,3,0,0,0,0,0,24,0,0,19,0,0,3,3,997,12,12
18,1,2025,0,49,53,BEG,8.66,24,2.77,NF,9,30,12,3,0,0,0,0,0,36,0,0,32,0,0,3,3,900,16,19
18,1,2025,0,50,8,BEG,4.47,14,3.13,NF,23,16,12,1,2,0,0,0,0,16,0,0,14,0,0,1,1,526,9,10
